strain	ERR1414009	ERR024924	ERR024916	ERR1413996	ERR1413978	SRR1922795	ERR1414100	ERR1414012	ERR1414018	ERR1414058	SRR1922792	ERR1414031	ERR1414082	ERR1414001	ERR1414016	ERR1414095	ERR1414040	ERR1414027	ERR024903	ERR1414007	ERR1414050	ERR1414065	ERR1414039	ERR024923	ERR024904	ERR028208	ERR1414035	ERR1414033	SRR1922797	SRR1922796	ERR024901	ERR024907	ERR1414060	ERR1413989	ERR1414055	ERR1414048	ERR1413981	ERR024894	ERR1414091	ERR024928	ERR1414084	ERR1414032	ERR1414019	ERR1414067	ERR1414099	ERR1414047	ERR1413982	ERR1413987	ERR1414083	ERR1414028	ERR1414074	ERR1414092	ERR027411	ERR1414010	ERR024920	ERR1414059	ERR1414057	ERR1413984	ERR1414079	ERR024910	ERR1414075	ERR1413980	ERR1414006	ERR1414087	ERR1414086	ERR1414014	ERR1414005	ERR1414004	ERR1414015	ERR1414044	ERR1414071	ERR1414093	ERR1414011	SRR1922793	ERR1414049	ERR1414064	ERR1414076	ERR024929	ERR1413994	ERR1414043	ERR1414077	ERR024914	ERR1414101	ERR1414042	ERR1414017	ERR024921	ERR1414024	ERR1414056	ERR1414072	ERR1414013	ERR024902	ERR1414052	ERR1413983	ERR1414022	ERR1414003	ERR027412	ERR1414026	ERR1414089	ERR1413988	ERR1413993	ERR1414023	ERR1414053	ERR1414070	ERR1414025	ERR024927	ERR024925	ERR1414020	ERR024911	ERR1413991	ERR024915	ERR1413998	ERR1414034	ERR1414085	ERR1414078	ERR1414098	ERR1414045	ERR1414061	ERR1414062	ERR1414036	SRR1922794	ERR024893	ERR1414068	ERR1414094	ERR1414069	ERR1414080	ERR1414002	ERR024908	ERR1414021	ERR1413985	ERR1414037	ERR1414041	ERR1414081	ERR024917	ERR1413990	ERR1413999	ERR1414030	ERR1413992	ERR1414097	ERR1414073	ERR1414090	ERR1414096	ERR024895	ERR1414008	ERR1414051	ERR1414066	ERR1413997	ERR1413995	ERR1414046	ERR1414054	ERR1414063	ERR024930	ERR1414038	ERR024926	ERR1413976	ERR1413979	ERR1413977	ERR1414088	ERR1414029	ERR1414000	ERR1413986
ERR1414072	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414013	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR024902	4724	94	4779	4779	5034	4899	4753	4723	4723	4723	5625	4723	4723	5188	4723	4723	4723	4723	6073	4723	4724	4723	4723	5871	37697	4761	4723	4723	5608	5547	21432	6678	4723	4779	4725	4723	4781	74	5036	86	4724	4723	4723	4723	4753	4723	73	4784	4751	4723	4723	4782	6199	4724	6234	4723	4723	167	4723	6141	4723	4749	4723	4723	4723	4723	4754	5875	4754	4723	4723	5193	4723	5627	4723	5192	4723	5199	4750	4723	4724	4738	4753	4753	4723	7029	4723	4723	4723	4723	0	4723	5029	4723	4773	10124	4723	4724	5175	5035	4723	4723	4723	4723	5859	5197	4723	5024	75	36640	4786	4723	4723	4723	5189	4724	4723	4723	4723	5550	18898	4723	4724	4723	4723	5188	5753	4723	4783	4753	4723	4723	8343	4782	4777	4723	73	4723	4723	5036	5548	36748	4753	4724	4723	4781	4751	4723	4723	4723	4770	4724	5850	4723	5170	5033	4723	4723	5170	4784
ERR1414052	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1413983	1811	5041	3993	3993	23	2205	1844	1810	1810	1810	4428	1810	1810	3022	1810	1810	1810	1810	5307	1810	1811	1810	1810	4408	36001	1976	1810	1810	4392	4315	20060	5963	1810	3993	1812	1810	3997	5027	25	5029	1811	1810	1810	1810	1842	1810	5020	4000	1840	1810	1810	3998	5466	1811	5443	1810	1810	5024	1810	5369	1810	1838	1810	1810	1810	1810	1843	4412	1843	1810	1810	3027	1810	4430	1810	3026	1810	3035	1841	1810	1811	1825	1842	1842	1810	6240	1810	1810	1810	1810	5029	1810	0	1810	3987	9282	1810	1811	3009	24	1810	1810	1810	1810	4396	3031	1810	71	5022	34955	4000	1810	1810	1810	3023	1811	1810	1810	1810	4318	17747	1810	1811	1810	1810	3022	4965	1810	3999	1842	1810	1810	7341	3996	3991	1810	5020	1810	1810	25	4316	35041	1842	1811	1810	3995	1842	1810	1810	1810	3984	1811	4387	1810	3004	22	1810	1810	3004	4000
ERR1414022	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414003	3652	4785	92	92	3992	3519	3685	3651	3651	3651	4456	3651	3651	3484	3651	3651	3651	3651	5279	3651	3652	3651	3651	4643	36887	3577	3651	3651	4437	4351	20776	6006	3651	92	3653	3651	180	4771	3994	4773	3652	3651	3651	3651	3683	3651	4764	183	3681	3651	3651	181	5415	3652	5448	3651	3651	4768	3651	5325	3651	3679	3651	3651	3651	3651	3684	4645	3684	3651	3651	3489	3651	4458	3651	3488	3651	3497	3682	3651	3652	3666	3683	3683	3651	6165	3651	3651	3651	3651	4773	3651	3987	3651	0	9510	3651	3652	3471	3993	3651	3651	3651	3651	4629	3493	3651	3982	4766	35798	99	3651	3651	3651	3485	3652	3651	3651	3651	4354	18307	3651	3652	3651	3651	3484	4935	3651	182	3683	3651	3651	7457	95	90	3651	4764	3651	3651	3994	4352	35886	3683	3652	3651	94	3683	3651	3651	3651	83	3652	4620	3651	3466	3991	3651	3651	3466	183
ERR027412	8855	10136	9519	9519	9287	9055	8886	8854	8854	8854	9648	8854	8854	9550	8854	8854	8854	8854	8978	8854	8855	8854	8854	10082	38051	8959	8854	8854	9558	9607	17461	9839	8854	9519	8856	8854	9522	10122	9289	10124	8855	8854	8854	8854	8884	8854	10115	9525	8882	8854	8854	9523	9308	8855	9190	8854	8854	10119	8854	9059	8854	8880	8854	8854	8854	8854	8885	10086	8885	8854	8854	9555	8854	9650	8854	9554	8854	9563	8883	8854	8855	8869	8884	8884	8854	9466	8854	8854	8854	8854	10124	8854	9282	8854	9510	0	8854	8855	9537	9288	8854	8854	8854	8854	10068	9559	8854	9277	10117	37132	9526	8854	8854	8854	9551	8855	8854	8854	8854	9610	13860	8854	8855	8854	8854	9550	9001	8854	9524	8884	8854	8854	9685	9522	9517	8854	10115	8854	8854	9289	9608	37099	8884	8855	8854	9521	8884	8854	8854	8854	9510	8855	10061	8854	9532	9286	8854	8854	9532	9525
ERR1414026	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414089	2	4736	3658	3658	1816	886	41	1	1	1	4063	1	1	2897	1	1	1	1	4969	1	2	1	1	4067	35217	419	1	1	4031	3960	19425	5552	1	3658	3	1	3662	4722	1818	4724	2	1	1	1	39	1	4715	3665	37	1	1	3663	5136	2	5128	1	1	4719	1	5043	1	35	1	1	1	1	40	4071	40	1	1	2902	1	4065	1	2901	1	2910	38	1	2	22	39	39	1	5878	1	1	1	1	4724	1	1811	1	3652	8855	1	0	2884	1817	1	1	1	1	4055	2906	1	1806	4717	34173	3665	1	1	1	2898	2	1	1	1	3963	17141	1	2	1	1	2897	4627	1	3664	39	1	1	6996	3661	3656	1	4715	1	1	1818	3961	34279	39	2	1	3660	39	1	1	1	3649	2	4046	1	2879	1815	1	1	2879	3665
ERR1413988	2884	5189	3477	3477	3014	2520	2917	2883	2883	2883	4609	2883	2883	137	2883	2883	2883	2883	5562	2883	2884	2883	2883	4674	36554	2688	2883	2883	4583	4510	20301	6210	2883	3477	2885	2883	3479	5175	3016	5177	2884	2883	2883	2883	2915	2883	5168	3482	2913	2883	2883	3480	5725	2884	5689	2883	2883	5172	2883	5588	2883	2911	2883	2883	2883	2883	2916	4676	2916	2883	2883	142	2883	4611	2883	141	2883	126	2914	2883	2884	2898	2915	2915	2883	6409	2883	2883	2883	2883	5175	2883	3009	2883	3471	9537	2883	2884	0	3015	2883	2883	2883	2883	4660	122	2883	3004	5170	35489	3484	2883	2883	2883	138	2884	2883	2883	2883	4513	17997	2883	2884	2883	2883	137	5243	2883	3481	2915	2883	2883	7612	3480	3475	2883	5168	2883	2883	3016	4511	35578	2915	2884	2883	3479	2915	2883	2883	2883	3468	2884	4651	2883	69	3013	2883	2883	69	3482
ERR1413993	1817	5047	3999	3999	29	2211	1850	1816	1816	1816	4434	1816	1816	3028	1816	1816	1816	1816	5314	1816	1817	1816	1816	4414	36007	1982	1816	1816	4398	4321	20066	5970	1816	3999	1818	1816	4003	5033	19	5035	1817	1816	1816	1816	1848	1816	5026	4006	1846	1816	1816	4004	5473	1817	5450	1816	1816	5030	1816	5376	1816	1844	1816	1816	1816	1816	1849	4418	1849	1816	1816	3033	1816	4436	1816	3032	1816	3041	1847	1816	1817	1831	1848	1848	1816	6246	1816	1816	1816	1816	5035	1816	24	1816	3993	9288	1816	1817	3015	0	1816	1816	1816	1816	4402	3037	1816	77	5028	34961	4006	1816	1816	1816	3029	1817	1816	1816	1816	4324	17753	1816	1817	1816	1816	3028	4972	1816	4005	1848	1816	1816	7347	4002	3997	1816	5026	1816	1816	19	4322	35047	1848	1817	1816	4001	1848	1816	1816	1816	3990	1817	4393	1816	3010	28	1816	1816	3010	4006
ERR1414023	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414053	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414070	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414025	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR024927	4055	5871	4635	4635	4401	4215	4088	4054	4054	4054	5011	4054	4054	4673	4054	4054	4054	4054	5990	4054	4055	4054	4054	170	37116	4113	4054	4054	4993	4900	20977	6729	4054	4635	4056	4054	4637	5857	4403	5859	4055	4054	4054	4054	4086	4054	5850	4640	4084	4054	4054	4638	6199	4055	6163	4054	4054	5854	4054	6036	4054	4082	4054	4054	4054	4054	4087	106	4087	4054	4054	4678	4054	5013	4054	4677	4054	4686	4085	4054	4055	4069	4086	4086	4054	6930	4054	4054	4054	4054	5859	4054	4396	4054	4629	10068	4054	4055	4660	4402	4054	4054	4054	4054	0	4682	4054	4391	5852	36034	4642	4054	4054	4054	4672	4055	4054	4054	4054	4903	18604	4054	4055	4054	4054	4673	5699	4054	4639	4086	4054	4054	8035	4638	4633	4054	5850	4054	4054	4403	4901	36129	4086	4055	4054	4637	4086	4054	4054	4054	4626	4055	27	4054	4655	4400	4054	4054	4655	4640
ERR024925	2906	5211	3499	3499	3036	2542	2939	2905	2905	2905	4631	2905	2905	159	2905	2905	2905	2905	5584	2905	2906	2905	2905	4696	36574	2710	2905	2905	4605	4532	20325	6232	2905	3499	2907	2905	3503	5197	3038	5199	2906	2905	2905	2905	2937	2905	5190	3506	2935	2905	2905	3504	5747	2906	5713	2905	2905	5194	2905	5610	2905	2933	2905	2905	2905	2905	2938	4698	2938	2905	2905	164	2905	4633	2905	163	2905	16	2936	2905	2906	2920	2937	2937	2905	6431	2905	2905	2905	2905	5197	2905	3031	2905	3493	9559	2905	2906	122	3037	2905	2905	2905	2905	4682	0	2905	3026	5192	35509	3506	2905	2905	2905	160	2906	2905	2905	2905	4535	18018	2905	2906	2905	2905	159	5265	2905	3505	2937	2905	2905	7636	3502	3497	2905	5190	2905	2905	3038	4533	35598	2937	2906	2905	3501	2937	2905	2905	2905	3490	2906	4673	2905	117	3035	2905	2905	117	3506
ERR1414020	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR024911	1806	5036	3988	3988	76	2200	1839	1805	1805	1805	4423	1805	1805	3017	1805	1805	1805	1805	5303	1805	1806	1805	1805	4403	35996	1971	1805	1805	4387	4310	20057	5959	1805	3988	1807	1805	3992	5022	78	5024	1806	1805	1805	1805	1837	1805	5015	3995	1835	1805	1805	3993	5462	1806	5439	1805	1805	5019	1805	5365	1805	1833	1805	1805	1805	1805	1838	4407	1838	1805	1805	3022	1805	4425	1805	3021	1805	3030	1836	1805	1806	1820	1837	1837	1805	6235	1805	1805	1805	1805	5024	1805	71	1805	3982	9277	1805	1806	3004	77	1805	1805	1805	1805	4391	3026	1805	0	5017	34950	3995	1805	1805	1805	3018	1806	1805	1805	1805	4313	17744	1805	1806	1805	1805	3017	4961	1805	3994	1837	1805	1805	7336	3991	3986	1805	5015	1805	1805	78	4311	35036	1837	1806	1805	3990	1837	1805	1805	1805	3979	1806	4382	1805	2999	75	1805	1805	2999	3995
ERR1413991	4717	81	4772	4772	5027	4892	4746	4716	4716	4716	5620	4716	4716	5183	4716	4716	4716	4716	6068	4716	4717	4716	4716	5864	37694	4754	4716	4716	5603	5542	21425	6673	4716	4772	4718	4716	4774	73	5029	79	4717	4716	4716	4716	4746	4716	10	4777	4744	4716	4716	4775	6192	4717	6229	4716	4716	160	4716	6134	4716	4742	4716	4716	4716	4716	4747	5868	4747	4716	4716	5188	4716	5622	4716	5187	4716	5194	4743	4716	4717	4731	4746	4746	4716	7022	4716	4716	4716	4716	75	4716	5022	4716	4766	10117	4716	4717	5170	5028	4716	4716	4716	4716	5852	5192	4716	5017	0	36639	4779	4716	4716	4716	5184	4717	4716	4716	4716	5545	18889	4716	4717	4716	4716	5183	5748	4716	4776	4746	4716	4716	8338	4775	4770	4716	16	4716	4716	5029	5543	36745	4746	4717	4716	4774	4744	4716	4716	4716	4763	4717	5843	4716	5165	5026	4716	4716	5165	4777
ERR024915	34173	36656	35805	35805	34960	34546	34203	34172	34172	34172	35951	34172	34172	35502	34172	34172	34172	34172	35925	34172	34173	34172	34172	36045	5211	34347	34172	34172	35917	35888	40196	34899	34172	35805	34174	34172	35802	36642	34962	36646	34173	34172	34172	34172	34201	34172	36637	35805	34199	34172	34172	35803	35565	34173	35817	34172	34172	36641	34172	35925	34172	34197	34172	34172	34172	34172	34202	36048	34202	34172	34172	35507	34172	35953	34172	35506	34172	35514	34200	34172	34173	34187	34201	34201	34172	36025	34172	34172	34172	34172	36640	34172	34955	34172	35798	37132	34172	34173	35489	34961	34172	34172	34172	34172	36034	35509	34172	34950	36639	0	35812	34172	34172	34172	35503	34173	34172	34172	34172	35891	39278	34172	34173	34172	34172	35502	35899	34172	35804	34201	34172	34172	36094	35808	35803	34172	36637	34172	34172	34962	35889	4066	34201	34173	34172	35807	34201	34172	34172	34172	35793	34173	36025	34172	35482	34959	34172	34172	35484	35805
ERR1413998	3665	4798	33	13	4005	3532	3698	3664	3664	3664	4469	3664	3664	3497	3664	3664	3664	3664	5294	3664	3665	3664	3664	4656	36902	3590	3664	3664	4450	4364	20793	6021	3664	13	3666	3664	193	4784	4007	4786	3665	3664	3664	3664	3696	3664	4777	196	3694	3664	3664	194	5430	3665	5463	3664	3664	4781	3664	5338	3664	3692	3664	3664	3664	3664	3697	4658	3697	3664	3664	3502	3664	4471	3664	3501	3664	3510	3695	3664	3665	3679	3696	3696	3664	6179	3664	3664	3664	3664	4786	3664	4000	3664	99	9526	3664	3665	3484	4006	3664	3664	3664	3664	4642	3506	3664	3995	4779	35812	0	3664	3664	3664	3498	3665	3664	3664	3664	4367	18324	3664	3665	3664	3664	3497	4948	3664	195	3696	3664	3664	7473	16	11	3664	4777	3664	3664	4007	4365	35900	3696	3665	3664	15	3696	3664	3664	3664	70	3665	4633	3664	3479	4004	3664	3664	3479	196
ERR1414034	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414085	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414078	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414098	2898	5203	3491	3491	3028	2534	2931	2897	2897	2897	4623	2897	2897	65	2897	2897	2897	2897	5576	2897	2898	2897	2897	4686	36568	2702	2897	2897	4597	4524	20315	6224	2897	3491	2899	2897	3495	5189	3030	5191	2898	2897	2897	2897	2929	2897	5182	3498	2927	2897	2897	3496	5739	2898	5705	2897	2897	5186	2897	5602	2897	2925	2897	2897	2897	2897	2930	4688	2930	2897	2897	10	2897	4625	2897	9	2897	164	2928	2897	2898	2912	2929	2929	2897	6423	2897	2897	2897	2897	5189	2897	3023	2897	3485	9551	2897	2898	138	3029	2897	2897	2897	2897	4672	160	2897	3018	5184	35503	3498	2897	2897	2897	0	2898	2897	2897	2897	4527	18009	2897	2898	2897	2897	5	5255	2897	3497	2929	2897	2897	7628	3494	3489	2897	5182	2897	2897	3030	4525	35592	2929	2898	2897	3493	2929	2897	2897	2897	3482	2898	4663	2897	133	3027	2897	2897	133	3498
ERR1414045	2	4736	3658	3658	1816	886	41	1	1	1	4063	1	1	2897	1	1	1	1	4969	1	2	1	1	4067	35217	419	1	1	4031	3960	19425	5552	1	3658	3	1	3662	4722	1818	4724	2	1	1	1	39	1	4715	3665	37	1	1	3663	5136	0	5128	1	1	4719	1	5043	1	35	1	1	1	1	40	4071	40	1	1	2902	1	4065	1	2901	1	2910	38	1	0	22	39	39	1	5878	1	1	1	1	4724	1	1811	1	3652	8855	1	2	2884	1817	1	1	1	1	4055	2906	1	1806	4717	34173	3665	1	1	1	2898	0	1	1	1	3963	17141	1	2	1	1	2897	4627	1	3664	39	1	1	6996	3661	3656	1	4715	1	1	1818	3961	34279	39	0	1	3660	39	1	1	1	3649	0	4046	1	2879	1815	1	1	2879	3665
ERR1414061	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414062	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
